circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Kanbha BO,382430,BO,Delivery,AHMADABAD,GUJARAT,23.0242078,72.6904694
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Kathwada BO,382430,BO,Delivery,AHMADABAD,GUJARAT,23.060794,72.714069
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Chandial BO,382433,BO,Delivery,AHMADABAD,GUJARAT,23.014467,72.809265
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ranodra BO,382433,BO,Delivery,AHMADABAD,GUJARAT,22.962718,72.800771
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Undrel BO,382433,BO,Delivery,AHMADABAD,GUJARAT,22.95514,72.773101
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ode BO,382427,BO,Delivery,AHMADABAD,GUJARAT,NA,NA
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Pirana BO,382425,BO,Delivery,AHMADABAD,GUJARAT,22.879663,72.541372
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vasai BO,382425,BO,Delivery,AHMADABAD,GUJARAT,NA,NA
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Lambha BO,382405,BO,Delivery,AHMADABAD,GUJARAT,22.932772,72.575012
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Kali BO,382470,BO,Delivery,AHMADABAD,GUJARAT,23.09422,72.57487
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ramol B.O,382449,BO,Delivery,AHMADABAD,GUJARAT,22.9785591,72.6546589
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vivekanandnagar BO,382445,BO,Delivery,AHMADABAD,GUJARAT,22.945394,72.668149
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ellisbridge SO,380006,PO,Delivery,AHMADABAD,GUJARAT,23.018508,72.569819
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Gujarat University SO,380009,PO,Non Delivery,AHMADABAD,GUJARAT,23.032196,72.578457
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,I I M SO,380015,PO,Non Delivery,AHMADABAD,GUJARAT,23.034048,72.534717
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Jivraj Park SO,380051,PO,Delivery,AHMADABAD,GUJARAT,23.004847,72.520865
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Motera SO,380005,PO,Non Delivery,AHMADABAD,GUJARAT,23.1057,72.605401
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Paldi SO Ahmedabad,380007,PO,Delivery,AHMADABAD,GUJARAT,23.007355,72.557119
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Polytechnic SO Ahmedabad,380015,PO,Non Delivery,AHMADABAD,GUJARAT,23.032196,72.578457
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ghuma S.O,380058,PO,Non Delivery,AHMADABAD,GUJARAT,23.031364,72.451198
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Bapunagar SO,380024,PO,Non Delivery,AHMADABAD,GUJARAT,23.029718,72.626586
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Behrampura SO,380022,PO,Delivery,AHMADABAD,GUJARAT,23.010425,72.586792
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ctm Char Rasta SO,380026,PO,Non Delivery,AHMADABAD,GUJARAT,22.992553,72.632006
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Daxini Society SO,380008,PO,Non Delivery,AHMADABAD,GUJARAT,22.991151,72.614369
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Jamalpur SO Ahmedabad,380001,PO,Non Delivery,AHMADABAD,GUJARAT,23.016095,72.587501
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Municipal Corporation SO,380001,PO,Non Delivery,AHMADABAD,GUJARAT,23.02088,72.58617
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Nandej SO,382435,PO,Delivery,AHMADABAD,GUJARAT,22.888611,72.686032
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Raipur SO Ahmedabad,380001,PO,Non Delivery,AHMADABAD,GUJARAT,23.020803,72.591507
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,382418,PO,Delivery,AHMADABAD,GUJARAT,23.005161,72.653415
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Nirnaynagar SO,382481,PO,Non Delivery,AHMADABAD,GUJARAT,23.072973,72.560596
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Bhat BO,382210,BO,Delivery,AHMADABAD,GUJARAT,22.877817,72.464462
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Chamla BO,382433,BO,Delivery,AHMADABAD,GUJARAT,23.009455,72.82257
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Kaniyel BO,382433,BO,Delivery,AHMADABAD,GUJARAT,22.967712,72.836691
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Limbadia BO,382330,BO,Delivery,AHMADABAD,GUJARAT,23.12472,72.683946
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Dhamatvan BO,382435,BO,Delivery,AHMADABAD,GUJARAT,22.957017,72.72812
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Jagatpur BO,382470,BO,Delivery,AHMADABAD,GUJARAT,23.111883,72.545069
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ognaj BO,380060,BO,Delivery,AHMADABAD,GUJARAT,23.11646,72.51344
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Gatrad B.O,382449,BO,Delivery,AHMADABAD,GUJARAT,22.978521,72.709901
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navrangpura HO,380009,HO,Delivery,AHMADABAD,GUJARAT,23.034955,72.563609
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Revdibazar HO,380002,HO,Non Delivery,AHMADABAD,GUJARAT,23.028048,72.598523
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Bopal SO,380058,PO,Delivery,AHMADABAD,GUJARAT,23.032196,72.578457
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Gandhi Ashram SO Ahmedabad,380027,PO,Delivery,AHMADABAD,GUJARAT,23.063327,72.581808
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ghatlodia SO,380061,PO,Delivery,AHMADABAD,GUJARAT,23.068571,72.543114
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,O N G C SO,380005,PO,Non Delivery,AHMADABAD,GUJARAT,23.102683,72.585023
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Railway Colony SO Ahmedabad,380019,PO,Delivery,AHMADABAD,GUJARAT,23.098261,72.580299
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Sabarmati SO,380005,PO,Delivery,AHMADABAD,GUJARAT,23.079513,72.589897
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Shastrinagar SO Ahmedabad,380013,PO,Non Delivery,AHMADABAD,GUJARAT,23.064536,72.555998
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Civil Hospital SO,380016,PO,Delivery,AHMADABAD,GUJARAT,23.049684,72.607038
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Kubernagar SO,382340,PO,Delivery,AHMADABAD,GUJARAT,23.07686,72.645915
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Odhav Industrial Estate SO,382415,PO,Delivery,AHMADABAD,GUJARAT,23.020521,72.659728
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Saijpur Bogha SO,382345,PO,Delivery,AHMADABAD,GUJARAT,23.059244,72.637678
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,T B Nagar SO,382350,PO,Delivery,AHMADABAD,GUJARAT,23.041585,72.642871
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Bhairavnath Road SO,380028,PO,Non Delivery,AHMADABAD,GUJARAT,22.997354,72.594864
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Dariapur SO Ahmedabad,380001,PO,Non Delivery,AHMADABAD,GUJARAT,23.034994,72.589783
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Gheekanta Road SO,380001,PO,Non Delivery,AHMADABAD,GUJARAT,23.031134,72.587722
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ghodasar SO Ahmedabad,380050,PO,Delivery,AHMADABAD,GUJARAT,22.985094,72.611236
Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Isanpur SO,382443,PO,Delivery,AHMADABAD,GUJARAT,22.983023,72.597173
